journal_name	abbr_name	issn	eissn	impact_factor	impact_factor_5_year	category	jcr_quartile	rank	total_num_of_journals
MonTI	MONTI	1889-4178	1989-9335	0.5	0.7	LINGUISTICS	Q3	206	297
Revista de Derecho Comunitario Europeo	REV DERECHO COMUNITA	1138-4026	1138-4026	0.5	0.5	LAW	Q3	211	421
Acta Ortopedica Brasileira	ACTA ORTOP BRAS	1413-7852	1809-4406	0.5	0.6	ORTHOPEDICS	Q4	118	136
Agenda-Empowering Women for Gender Equity	AGENDA-EMPOWER WOMEN	1013-0950	2158-978X	0.5	0.8	WOMENS STUDIES	Q3	48	66
Asia-Pacific Journal of Ocean Law and Policy	ASIA-PAC J OCEAN LAW	2451-9367	2451-9391	0.5		LAW	Q3	211	421
Bulletin of Tokyo Dental College	BULL TOKYO DENT COLL	0040-8891	0040-8891	0.5	0.6	DENTISTRY, ORAL SURGERY & MEDICINE	Q4	131	157
Chinese Space Science and Technology	CHIN SPACE SCI TECHN	1000-758X	1000-758X	0.5	0.5	ENGINEERING, AEROSPACE	Q4	45	52
CRYPTOGAMIE BRYOLOGIE	CRYPTOGAMIE BRYOL	1290-0796	1776-0992	0.5	0.5	PLANT SCIENCES	Q4	244	265
Egyptian Pediatric Association Gazette	EGYPT PEDIATR ASSO	1110-6638	2090-9942	0.5	0.6	PEDIATRICS	Q4	153	186
Ethik in der Medizin	ETHIK MED	0935-7335	1437-1618	0.5	0.5	MEDICAL ETHICS	Q4	19	23
FEMINIST STUDIES	FEMINIST STUD	0046-3663	2153-3873	0.5	1.2	WOMENS STUDIES	Q3	48	66
Journal of Criminological Research Policy and Practice	J CRIMINOL RES POLIC	2056-3841	2056-385X	0.5	0.7	CRIMINOLOGY & PENOLOGY	Q4	100	113
Journal of Exotic Pet Medicine	J EXOT PET MED	1557-5063	1931-6283	0.5	0.5	VETERINARY SCIENCES	Q4	133	167
Journal of Mathematical Physics Analysis Geometry	J MATH PHYS ANAL GEO	1812-9471	1817-5805	0.5	0.7	PHYSICS, MATHEMATICAL	Q4	57	60
Journal of Measurement and Evaluation in Education and Psychology-EPOD	J MEAS EVAL EDUC PSY	1309-6575	1309-6575	0.5	1.0	PSYCHOLOGY, EDUCATIONAL	Q4	69	74
Journal of Research in Education Sciences	J RES EDUC SCI	2073-753X	2073-753X	0.5	0.5	EDUCATION & EDUCATIONAL RESEARCH	Q4	579	756
Jurnal Ilmiah Peuradeun	J ILM PEURADEUN	2338-8617	2443-2067	0.5	0.4	SOCIAL SCIENCES, INTERDISCIPLINARY	Q3	166	263
Malaysian Journal of Library & Information Science	MALAYS J LIBR INF SC	1394-6234	1394-6234	0.5	0.9	INFORMATION SCIENCE & LIBRARY SCIENCE	Q3	120	160
MATHEMATICAL SOCIAL SCIENCES	MATH SOC SCI	0165-4896	1879-3118	0.5	0.6	SOCIAL SCIENCES, MATHEMATICAL METHODS	Q4	63	67
Odovtos International Journal of Dental Sciences	ODOVTOS INT J DENT S	1659-1046	2215-3411	0.5	0.5	DENTISTRY, ORAL SURGERY & MEDICINE	Q4	131	157
Poljoprivreda	POLJOPRIVREDA	1330-7142	1848-8080	0.5	0.6	AGRICULTURAL ECONOMICS & POLICY	Q4	34	39
Psychoanalysis Culture & Society	PSYCHOANAL CULT SOC	1088-0763	1543-3390	0.5	0.5	SOCIAL SCIENCES, INTERDISCIPLINARY	Q3	166	263
PSYCHOLOGIA	PSYCHOLOGIA	0033-2852	1347-5916	0.5	0.5	PSYCHOLOGY, MULTIDISCIPLINARY	Q4	181	218
SOCIAL CHOICE AND WELFARE	SOC CHOICE WELFARE	0176-1714	1432-217X	0.5	0.7	SOCIAL SCIENCES, MATHEMATICAL METHODS	Q4	63	67
ACTA BIOLOGICA COLOMBIANA	ACTA BIOL COLOMB	0120-548X	1900-1649	0.5	0.7	ZOOLOGY	Q4	163	180
Ansiedad y Estres-Anxiety and Stress	ANSIEDAD ESTRES	1134-7937	2174-0437	0.5	1.1	PSYCHOLOGY, CLINICAL	Q4	163	180
Australasian Orthodontic Journal	AUSTRALAS ORTHOD J	2207-7472	2207-7480	0.5	0.5	DENTISTRY, ORAL SURGERY & MEDICINE	Q4	131	157
Avances de Investigacion en Educacion Matematica	AV INVESTIG EDUC MAT	2254-4313	2254-4313	0.5	0.4	EDUCATION & EDUCATIONAL RESEARCH	Q4	579	756
Communications for Statistical Applications and Methods	COMMUN STAT APPL MET	2287-7843	2383-4757	0.5	0.5	STATISTICS & PROBABILITY	Q4	153	168
DYNAMICAL SYSTEMS-AN INTERNATIONAL JOURNAL	DYNAM SYST	1468-9367	1468-9375	0.5	0.5	PHYSICS, MATHEMATICAL	Q4	57	60
International Journal of Fluid Mechanics Research	INT J FLUID MECH RES	1064-2277	2152-5110	0.5	1.2	MECHANICS	Q4	160	170
Intersections-East European Journal of Society and Politics	INTERSECTIONS-E EUR		2416-089X	0.5	0.7	POLITICAL SCIENCE	Q4	242	317
Journal of Mathematical Cryptology	J MATH CRYPTOL	1862-2976	1862-2984	0.5	0.7	COMPUTER SCIENCE, THEORY & METHODS	Q4	128	143
Journal of Muslim Mental Health	J MUSLIM MENT HEALTH	1556-4908	1556-5009	0.5	1.2	PSYCHOLOGY, MULTIDISCIPLINARY	Q4	181	218
Journal of Pharmaceutical Health Services Research	J PHARM HEALTH SERV	1759-8885	1759-8893	0.5	0.7	HEALTH CARE SCIENCES & SERVICES	Q4	161	174
JOURNAL OF THE PALAEONTOLOGICAL SOCIETY OF INDIA	J PALAEONTOL SOC IND	0552-9360	0552-9360	0.5	0.6	PALEONTOLOGY	Q4	55	56
PHYSIKALISCHE MEDIZIN REHABILITATIONSMEDIZIN KURORTMEDIZIN	PHYS MED REHAB KUROR	0940-6689	1439-085X	0.5	0.5	SPORT SCIENCES	Q4	114	127
REVISTA DE LA SOCIEDAD ENTOMOLOGICA ARGENTINA	REV SOC ENTOMOL ARGE	0373-5680	1851-7471	0.5	0.6	ENTOMOLOGY	Q4	93	109
STUDIA GEOPHYSICA ET GEODAETICA	STUD GEOPHYS GEOD	0039-3169	1573-1626	0.5	1.0	GEOCHEMISTRY & GEOPHYSICS	Q4	95	101
Turk Gogus Kalp Damar Cerrahisi Dergisi-Turkish Journal of Thoracic and Cardiovascular Surgery	TURK GOGUS KALP DAMA	1301-5680	1301-5680	0.5	0.6	SURGERY	Q4	253	290
Brazilian Journalism Research	BRAZ JOURNAL RES	1808-4079	1981-9854	0.5	0.5	COMMUNICATION	Q4	179	227
CIENCIAS MARINAS	CIENC MAR	0185-3880		0.5	0.7	MARINE & FRESHWATER BIOLOGY	Q4	107	119
Communications in Mathematical Biology and Neuroscience	COMMUN MATH BIOL NEU	2052-2541	2052-2541	0.5	0.8	COMPUTER SCIENCE, INFORMATION SYSTEMS	Q4	229	249
International Journal of Business Data Communications and Networking	INT J BUS DATA COMMU	1548-0631	1548-064X	0.5	0.5	COMPUTER SCIENCE, INFORMATION SYSTEMS	Q4	229	249
International Journal of Computing Science and Mathematics	INT J COMPUT SCI MAT	1752-5055	1752-5063	0.5	0.6	ENGINEERING, MULTIDISCIPLINARY	Q4	141	179
Iranian Journal of Applied Animal Science	IRAN J APPL ANIM SCI	2251-628X	2251-631X	0.5	0.7	AGRICULTURE, DAIRY & ANIMAL SCIENCE	Q4	63	80
Journal of International Oral Health	J INT ORAL HEALTH	0976-7428	0976-1799	0.5		DENTISTRY, ORAL SURGERY & MEDICINE	Q4	131	157
Journal of Qualitative Research in Education-Egitimde Nitel Arastirmalar Dergisi	J QUAL RES EDUC	2148-2624	2148-2624	0.5	0.3	EDUCATION & EDUCATIONAL RESEARCH	Q4	579	756
Language and Literacy	LANG LITER		1496-0974	0.5	0.6	EDUCATION & EDUCATIONAL RESEARCH	Q4	579	756
Middle East African Journal of Ophthalmology	MIDDLE EAST AFR J OP	0974-9233	0975-1599	0.5	0.8	OPHTHALMOLOGY	Q4	86	95
Photonics Letters of Poland	PHOTONICS LETT POL	2080-2242	2080-2242	0.5	0.5	OPTICS	Q4	114	119
SOTSIOLOGICHESKIE ISSLEDOVANIYA	SOTSIOL ISSLED+	0132-1625	0132-1625	0.5	0.5	SOCIOLOGY	Q4	169	217
Andes Pediatrica	ANDES PEDIATRICA		2452-6053	0.5	0.5	PEDIATRICS	Q4	153	186
ANNALES DE PATHOLOGIE	ANN PATHOL	0242-6498	2213-008X	0.5	0.5	PATHOLOGY	Q4	85	88
APOS Trends in Orthodontics	APOS TRENDS ORTHOD	2321-4600	2321-1407	0.5	0.6	DENTISTRY, ORAL SURGERY & MEDICINE	Q4	131	157
AUC Geographica	AUC GEOGR	0300-5402	2336-1980	0.5	0.6	GEOGRAPHY	Q3	123	171
Boletin de Geologia	B GEOLOGIA	0120-0283	2145-8553	0.5	0.5	GEOLOGY	Q4	47	60
Bulletin of the Technical Committee on Learning Technology	BULL TECH COMM LEARN	2306-0212	2306-0212	0.5	0.5	EDUCATION & EDUCATIONAL RESEARCH	Q4	579	756
Canadian Journal of Nonprofit and Social Economy Research	CAN J NONPROFIT SOC	1920-9355	1920-9355	0.5	0.6	PUBLIC ADMINISTRATION	Q4	75	91
Convergencia-Revista de Ciencias Sociales	CONVERGENCIA	2448-5799	2448-5799	0.5	0.7	SOCIOLOGY	Q4	169	217
Cosmopolitan Civil Societies-An Interdisciplinary Journal	COSMOP CIV SOC	1837-5391	1837-5391	0.5	0.4	SOCIOLOGY	Q4	169	217
Current Trends in Translation Teaching and Learning E	CURR TRENDS TRANSL T	2342-7205	2342-7205	0.5	0.4	LINGUISTICS	Q3	206	297
Educatio Siglo XXI	EDUC SIGLO XXI	1699-2105	1989-466X	0.5	0.7	EDUCATION & EDUCATIONAL RESEARCH	Q4	579	756
Floresta e Ambiente	FLORESTA AMBIENTE	2179-8087	2179-8087	0.5	0.7	FORESTRY	Q4	72	89
Indian Journal of Gender Studies	INDIAN J GEND STUD	0971-5215	0973-0672	0.5	0.8	WOMENS STUDIES	Q3	48	66
International Journal of Information Retrieval Research	INT J INF RETR RES	2155-6377	2155-6385	0.5	0.5	COMPUTER SCIENCE, INFORMATION SYSTEMS	Q4	229	249
International Journal of Therapy and Rehabilitation	INT J THER REHABIL	1741-1645	1759-779X	0.5	0.6	REHABILITATION	Q4	153	169
JOURNAL OF CAVE AND KARST STUDIES	J CAVE KARST STUD	1090-6924	2331-3714	0.5	0.7	GEOSCIENCES, MULTIDISCIPLINARY	Q4	229	253
JOURNAL OF INTERCONNECTION NETWORKS	J INTERCONNECT NETW	0219-2659	1793-6713	0.5	0.5	COMPUTER SCIENCE, THEORY & METHODS	Q4	128	143
Journal of Osseointegration	J OSSEOINTEGRATION	2036-413X	2036-4121	0.5	0.6	DENTISTRY, ORAL SURGERY & MEDICINE	Q4	131	157
Large Animal Review	LARGE ANIM REV	1124-4593	1124-4593	0.5	0.5	AGRICULTURE, DAIRY & ANIMAL SCIENCE	Q4	63	80
Present Environment and Sustainable Development	PRESENT ENV SUST DEV	1843-5971	2284-7820	0.5	0.4	GEOGRAPHY	Q3	123	171
PUBLIC FINANCE REVIEW	PUBLIC FINANC REV	1091-1421	1552-7530	0.5	0.9	ECONOMICS	Q4	489	597
Social Psychology and Society	SOC PSYCHOL SOC	2221-1527	2311-7052	0.5	0.5	PSYCHOLOGY, APPLIED	Q4	104	113
TOPICS IN GERIATRIC REHABILITATION	TOP GERIATR REHABIL	0882-7524	1550-2414	0.5	0.7	REHABILITATION	Q4	153	169
ANNALES MEDICO-PSYCHOLOGIQUES	ANN MED-PSYCHOL	0003-4487	1769-6631	0.5	0.4	PSYCHOLOGY	Q4	85	92
ARCHIV FUR MOLLUSKENKUNDE	ARCH MOLLUSKENKD	1869-0963	2367-0622	0.5	0.4	MARINE & FRESHWATER BIOLOGY	Q4	107	119
Archives of Clinical Infectious Diseases	ARCH CLIN INFECT DIS	2345-2641	2008-1081	0.5	0.8	INFECTIOUS DISEASES	Q4	123	132
Argumentation and Advocacy	ARGUMENT ADVOCACY	1051-1431	2576-8476	0.5		COMMUNICATION	Q4	179	227
Asian Pacific Journal of Reproduction	ASIAN PAC J REPROD	2305-0500	2305-0519	0.5		REPRODUCTIVE BIOLOGY	Q4	39	39
ATLANTIC ECONOMIC JOURNAL	ATLANTIC ECON J	0197-4254	1573-9678	0.5	0.6	ECONOMICS	Q4	489	597
Baltic Journal of Economic Studies	BALT J ECON STUD	2256-0742	2256-0963	0.5	0.4	ECONOMICS	Q4	489	597
CALDASIA	CALDASIA	0366-5232	2357-3759	0.5	0.5	ZOOLOGY	Q4	163	180
DRUSTVENA ISTRAZIVANJA	DRUS ISTRAZ	1330-0288	1848-6096	0.5	0.5	SOCIOLOGY	Q4	169	217
Foro Internacional	FORO INT	0185-013X	2448-6523	0.5	0.5	INTERNATIONAL RELATIONS	Q4	127	165
INTERNATIONAL JOURNAL OF COOPERATIVE INFORMATION SYSTEMS	INT J COOP INF SYST	0218-8430	1793-6365	0.5	0.5	COMPUTER SCIENCE, INFORMATION SYSTEMS	Q4	229	249
Italian Journal of Linguistics	ITAL J LINGUIST	1120-2726	1120-2726	0.5	0.6	LINGUISTICS	Q3	206	297
JOURNAL OF INFORMATION SCIENCE AND ENGINEERING	J INF SCI ENG	1016-2364		0.5	0.5	COMPUTER SCIENCE, INFORMATION SYSTEMS	Q4	229	249
Journal of Language Teaching and Learning	J LANG TEACH LEARN	2146-1732	2146-1732	0.5	0.4	EDUCATION & EDUCATIONAL RESEARCH	Q4	579	756
Journal of Tourism Management Research	J TOURISM MANAG RES	2408-9117	2313-4178	0.5		HOSPITALITY, LEISURE, SPORT & TOURISM	Q4	121	139
Konsultativnaya Psikhologiya i Psikhoterapiya-Counseling Psychology and Psychotherapy	KONSULT PSIKHOL PSIK	2075-3470	2311-9446	0.5	0.4	PSYCHOLOGY, CLINICAL	Q4	163	180
NEUES JAHRBUCH FUR MINERALOGIE-ABHANDLUNGEN	NEUES JB MINER ABH	0077-7757	0077-7757	0.5	0.4	MINERALOGY	Q4	29	30
Revista de Educacion Inclusiva	REV EDUC INCL	1889-4208	1989-4643	0.5	0.4	EDUCATION, SPECIAL	Q4	59	62
Technical Services Quarterly	TECH SERV Q	0731-7131	1555-3337	0.5	0.6	INFORMATION SCIENCE & LIBRARY SCIENCE	Q3	120	160
Academia y Virtualidad	ACAD VIRTUALIDAD	2011-0731	2011-0731	0.5	0.4	EDUCATION & EDUCATIONAL RESEARCH	Q4	579	756
Advances in Data Science and Adaptive Analysis	ADV DATA SCI ADAPT	2424-922X	2424-9238	0.5	0.6	MATHEMATICS, INTERDISCIPLINARY APPLICATIONS	Q4	118	135
Annals of Laparoscopic and Endoscopic Surgery	ANN LAPAROSC ENDOSC	2518-6973	2518-6973	0.5	0.6	SURGERY	Q4	253	290
Baltic Journal of Modern Computing	BALT J MOD COMPUT	2255-8942	2255-8950	0.5	0.6	COMPUTER SCIENCE, SOFTWARE ENGINEERING	Q4	125	131
BERLINER UND MUNCHENER TIERARZTLICHE WOCHENSCHRIFT	BERL MUNCH TIERARZTL	0005-9366	1439-0299	0.5	0.3	VETERINARY SCIENCES	Q4	133	167
Cardiogenetics	CARDIOGENETICS	2035-8253	2035-8148	0.5	0.5	CARDIAC & CARDIOVASCULAR SYSTEMS	Q4	198	220
Cirugia y Cirujanos	CIR CIR	0009-7411	0009-7411	0.5	0.5	SURGERY	Q4	253	290
Comptabilite Controle Audit	COMPTAB CONTROL AUDI	1262-2788		0.5	0.7	BUSINESS, FINANCE	Q4	195	231
Giornale Italiano di Endodonzia	G ITAL ENDO	1971-1425	1971-1425	0.5	0.5	DENTISTRY, ORAL SURGERY & MEDICINE	Q4	131	157
IEICE Nonlinear Theory and Its Applications	IEICE NONLINEAR THEO	2185-4106	2185-4106	0.5	0.4	MATHEMATICS, INTERDISCIPLINARY APPLICATIONS	Q4	118	135
International Journal of Economic Theory	INT J ECON THEORY	1742-7355	1742-7363	0.5	0.4	ECONOMICS	Q4	489	597
International Journal of Speech Language and the Law	INT J SPEECH LANG LA	1748-8885	1748-8893	0.5	0.9	LINGUISTICS	Q3	206	297
Investigaciones Feministas	INVESTIG FEM	2171-6080	2171-6080	0.5	0.6	WOMENS STUDIES	Q3	48	66
Journal of Institutional Studies	J INST STUD	2076-6297	2412-6039	0.5	0.3	ECONOMICS	Q4	489	597
Obere Extremitaet-Schulter-Ellenbogen-Hand-Upper Extremity-Shoulder Elbow Hand	OBERE EXTREMITAET-SC	1862-6599	1862-6602	0.5	0.7	ORTHOPEDICS	Q4	118	136
Radioengineering	RADIOENGINEERING	1210-2512		0.5	0.7	ENGINEERING, ELECTRICAL & ELECTRONIC	Q4	329	352
SOUTH AFRICAN JOURNAL FOR RESEARCH IN SPORT PHYSICAL EDUCATION AND RECREATION	S AFR J RES SPORT PH	0379-9069		0.5	0.5	SOCIAL SCIENCES, INTERDISCIPLINARY	Q3	166	263
Symploke	SYMPLOKE	1069-0697	1534-0627	0.5	0.3	CULTURAL STUDIES	Q3	35	59
TELOPEA	TELOPEA	0312-9764	2200-4025	0.5	0.5	PLANT SCIENCES	Q4	244	265
TELOS-Revista de Estudios Interdisciplinarios en Ciencias Sociales	TELOS-VEN	2343-5763	1317-0570	0.5	0.5	SOCIAL SCIENCES, INTERDISCIPLINARY	Q3	166	263
Acta Orthopaedica Belgica	ACTA ORTHOP BELG	0001-6462	0001-6462	0.5	0.6	ORTHOPEDICS	Q4	118	136
ACTA PHYSICA POLONICA A	ACTA PHYS POL A	0587-4246	1898-794X	0.5	0.6	PHYSICS, MULTIDISCIPLINARY	Q4	91	110
Asia Pacific Journal of Health Management	ASIA-PAC J HEALTH MA		2204-3136	0.5	0.6	HEALTH POLICY & SERVICES	Q4	116	118
BOLETIM DO INSTITUTO DE PESCA	BOL INST PESCA	0046-9939	1678-2305	0.5	0.7	ZOOLOGY	Q4	163	180
Commonwealth Journal of Local Governance	COMMONW J LOCAL GOV	1836-0394	1836-0394	0.5	0.7	PUBLIC ADMINISTRATION	Q4	75	91
CONSTRAINTS	CONSTRAINTS	1383-7133	1572-9354	0.5	1.8	COMPUTER SCIENCE, THEORY & METHODS	Q4	128	143
Croatian Operational Research Review	CROAT OPER RES REV	1848-0225	1848-9931	0.5	0.7	ECONOMICS	Q4	489	597
Czech Polar Reports	CZECH POLAR REP	1805-0689	1805-0697	0.5		GEOSCIENCES, MULTIDISCIPLINARY	Q4	229	253
Economic and Social Changes-Facts Trends Forecast	ECON SOC CHANG	2307-0331	2312-9824	0.5	0.4	ECONOMICS	Q4	489	597
Interaccion y Perspectiva	INTERACCION PERSPECT	2244-808X	2244-808X	0.5	0.3	SOCIAL WORK	Q4	76	91
International Journal of Embedded Systems	INT J EMBED SYST	1741-1068	1741-1076	0.5	0.5	COMPUTER SCIENCE, HARDWARE & ARCHITECTURE	Q4	57	59
International Journal of Sustainable Aviation	INT J SUST AVIAT	2050-0467	2050-0475	0.5	0.5	ENGINEERING, AEROSPACE	Q4	45	52
International Journal of Theoretical and Applied Finance	INT J THEOR APPL FIN	0219-0249	1793-6322	0.5	0.6	BUSINESS, FINANCE	Q4	195	231
International Studies of Economics	INT STUD ECON		2831-3224	0.5	0.5	ECONOMICS	Q4	489	597
ITE Transactions on Media Technology and Applications	ITE TRANS MEDIA TECH	2186-7364	2186-7364	0.5	0.6	ENGINEERING, ELECTRICAL & ELECTRONIC	Q4	329	352
Journal of Agricultural & Food Information	J AGRIC FOOD INF	1049-6505	1540-4722	0.5	1.0	AGRONOMY	Q4	100	125
MATERIALS EVALUATION	MATER EVAL	0025-5327	0025-5327	0.5	0.5	MATERIALS SCIENCE, CHARACTERIZATION & TESTING	Q4	33	38
Orthodontic Waves	ORTHOD WAVES	1344-0241	1878-1837	0.5	0.5	DENTISTRY, ORAL SURGERY & MEDICINE	Q4	131	157
Revista de Humanidades	REV HUMANID	1130-5029	2340-8995	0.5	0.5	HUMANITIES, MULTIDISCIPLINARY	N/A	0	0
Revista Espanola de Antropologia Americana	REV ESP ANTROPOL AM	0556-6533	1988-2718	0.5	0.5	ANTHROPOLOGY	Q3	97	139
REVUE FRANCAISE DE SOCIOLOGIE	REV FR SOCIOL	0035-2969	1958-5691	0.5	0.6	SOCIOLOGY	Q4	169	217
SCANDINAVIAN ECONOMIC HISTORY REVIEW	SCAND ECON HIST REV	0358-5522	1750-2837	0.5	0.7	ECONOMICS	Q4	489	597
Sylwan	SYLWAN	0039-7660		0.5	0.5	FORESTRY	Q4	72	89
TROPICAL DOCTOR	TROP DOCT	0049-4755	1758-1133	0.5	0.6	TROPICAL MEDICINE	Q4	26	28
Addicta-The Turkish Journal on Addictions	ADDICTA	2148-7286	2149-1305	0.5	0.8	SUBSTANCE ABUSE	Q4	53	55
Administration	ADMINSTRATION	0001-8325	2449-9471	0.5	0.5	PUBLIC ADMINISTRATION	Q4	75	91
African Journal of Urology	AFR J UROL	1110-5704	1961-9987	0.5	0.5	UROLOGY & NEPHROLOGY	Q4	113	126
Ain Shams Journal of Anesthesiology	AIN SHAMS J ANESTHES	1687-7934	2090-925X	0.5	0.5	ANESTHESIOLOGY	Q4	50	64
Antropologia Portuguesa	ANTROPOL PORT	0870-0990	2182-7982	0.5	0.2	ANTHROPOLOGY	Q3	97	139
Applied Computer Systems	APPL COMPUT SYST	2255-8683	2255-8691	0.5	0.7	COMPUTER SCIENCE, THEORY & METHODS	Q4	128	143
Current Proteomics	CURR PROTEOMICS	1570-1646	1875-6247	0.5	0.3	BIOCHEMISTRY & MOLECULAR BIOLOGY	Q4	307	313
Foro de Educacion	FORO EDUC-SPAIN	1698-7799	1698-7802	0.5	0.5	EDUCATION & EDUCATIONAL RESEARCH	Q4	579	756
Geografia Fisica e Dinamica Quaternaria	GEOGR FIS DIN QUAT	0391-9838	1724-4781	0.5	0.7	GEOGRAPHY, PHYSICAL	Q4	59	65
IARTEM e-Journal	IARTEM E-J	1837-2104	1837-2104	0.5	0.2	EDUCATION & EDUCATIONAL RESEARCH	Q4	579	756
International Journal of Abdominal Wall and Hernia Surgery	INT J ABDOM WALL HER	2589-8736	2589-8078	0.5		SURGERY	Q4	253	290
International Journal of Technology and Human Interaction	INT J TECHNOL HUM IN	1548-3908	1548-3916	0.5	0.6	INFORMATION SCIENCE & LIBRARY SCIENCE	Q3	120	160
ISRAELI JOURNAL OF AQUACULTURE-BAMIDGEH	ISR J AQUACULT-BAMID	0792-156X		0.5	0.6	FISHERIES	Q4	55	62
Jordan Journal of Physics	JORDAN J PHYS	1994-7607	1994-7615	0.5	0.5	PHYSICS, MULTIDISCIPLINARY	Q4	91	110
Journal of Agriculture and Environment for International Development	J AGRIC ENVIRON INT	2240-2802	2240-2802	0.5	0.8	AGRONOMY	Q4	100	125
Journal of Geometry and Symmetry in Physics	J GEOM SYMMETRY PHYS	1312-5192	1314-5673	0.5	0.4	PHYSICS, MATHEMATICAL	Q4	57	60
Journal of Judicial Administration	J JUDIC ADM	1036-7918	1036-7918	0.5	0.5	PUBLIC ADMINISTRATION	Q4	75	91
Malaysian Journal of Economic Studies	MALAYS J ECON STUD	1511-4554	1511-4554	0.5	0.5	ECONOMICS	Q4	489	597
Mitochondrial DNA Part B-Resources	MITOCHONDRIAL DNA B		2380-2359	0.5	0.5	GENETICS & HEREDITY	Q4	185	191
PHYSICS TEACHER	PHYS TEACH	0031-921X	1943-4928	0.5	0.6	PHYSICS, MULTIDISCIPLINARY	Q4	91	110
Psychotherapy and Politics International	PSYCHOTHER POLITICS	1476-9263	1556-9195	0.5	0.4	PSYCHOLOGY, MULTIDISCIPLINARY	Q4	181	218
Russian Journal of Marine Biology	RUSS J MAR BIOL+	1063-0740	1608-3377	0.5	0.6	MARINE & FRESHWATER BIOLOGY	Q4	107	119
Sumarski List	SUMAR LIST	0373-1332	1846-9140	0.5	0.5	FORESTRY	Q4	72	89
Tecnoscienza-Italian Journal of Science & Technology Studies	TECNOSCIENZA	2038-3460	2038-3460	0.5	0.5	SOCIAL ISSUES	Q3	50	67
TIDSSKRIFT FOR SAMFUNNSFORSKNING	TIDSSKR SAMFUNNSFOR	0040-716X	1504-291X	0.5	0.4	SOCIAL SCIENCES, INTERDISCIPLINARY	Q3	166	263
TOURISM CULTURE & COMMUNICATION	TOUR CULT COMMUN	1098-304X	1943-4146	0.5	0.7	HOSPITALITY, LEISURE, SPORT & TOURISM	Q4	121	139
African Journal of Nursing and Midwifery	AFR J NURS MIDWIFERY	1682-5055	1682-5055	0.5	0.4	NURSING	Q4	172	191
BJR Case Reports	BJR CASE REP	2055-7159	2055-7159	0.5	0.5	RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING	Q4	189	204
Ceska Gynekologie-Czech Gynaecology	CES GYNEKOL	1210-7832	1805-4455	0.5	0.5	OBSTETRICS & GYNECOLOGY	Q4	119	136
CESKOSLOVENSKA PSYCHOLOGIE	CESK PSYCHOL	0009-062X	1804-6436	0.5	0.3	PSYCHOLOGY, MULTIDISCIPLINARY	Q4	181	218
Cytology and Genetics	CYTOL GENET+	0095-4527	1934-9440	0.5	0.5	GENETICS & HEREDITY	Q4	185	191
DADOS-REVISTA DE CIENCIAS SOCIAIS	DADOS-REV CIENC SOC	0011-5258	1678-4588	0.5	0.6	SOCIAL SCIENCES, INTERDISCIPLINARY	Q3	166	263
Egyptian Journal of Agronomy	EGYPT J AGRON	0379-3575	2357-0288	0.5	0.7	AGRONOMY	Q4	100	125
European Journal of Human Movement	EUR J HUM MOV		2386-4095	0.5	0.6	SPORT SCIENCES	Q4	114	127
Geographia Cassoviensis	GEOGR CASSOVIENSIS	1337-6748	2454-0005	0.5	0.4	GEOGRAPHY	Q3	123	171
Grounded Theory Review	GROUNDED THEORY REV	1556-1550	1556-1550	0.5	0.7	SOCIAL SCIENCES, INTERDISCIPLINARY	Q3	166	263
Health Behavior and Policy Review	HEALTH BEHAV POLICY	2326-4403	2326-4403	0.5	0.5	PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH	Q4	378	403
Human Gene	HUM GENE	2773-0441	2773-0441	0.5	0.5	GENETICS & HEREDITY	Q4	185	191
International Education Journal-Comparative Perspectives	INT EDUC J	1443-1475	2202-493X	0.5	0.7	EDUCATION & EDUCATIONAL RESEARCH	Q4	579	756
International Journal of Electronics and Telecommunications	INT J ELECTRON TELEC	2081-8491	2300-1933	0.5	0.5	TELECOMMUNICATIONS	Q4	112	119
International Journal of Energetic Materials and Chemical Propulsion	INT J ENERG MATER CH	2150-766X	2150-7678	0.5	0.6	MATERIALS SCIENCE, MULTIDISCIPLINARY	Q4	421	438
International Journal of Human Factors and Ergonomics	INT J HUM FACT ERGON	2045-7804	2045-7812	0.5		ERGONOMICS	Q4	22	24
Iranian Journal of Psychiatry and Behavioral Sciences	IRAN J PSYCHIATR BEH	1735-8639	1735-9287	0.5	0.7	PSYCHIATRY	Q4	247	276
Journal of Computational Methods in Sciences and Engineering	J COMPUT METHODS SCI	1472-7978	1875-8983	0.5	0.4	ENGINEERING, MULTIDISCIPLINARY	Q4	141	179
Journal of Contemporary Physics-Armenian Academy of Sciences	J CONTEMP PHYS-ARME+	1068-3372	1934-9378	0.5	0.4	PHYSICS, MULTIDISCIPLINARY	Q4	91	110
Journal of Electronics & Information Technology	J ELECTRON INF TECHN	1009-5896	1009-5896	0.5	0.4	ENGINEERING, ELECTRICAL & ELECTRONIC	Q4	329	352
Journal of Ship Production and Design	J SHIP PROD DES	2158-2866	2158-2874	0.5	0.6	ENGINEERING, MARINE	Q4	22	25
Journal of Turkish Sleep Medicine-Turk Uyku Tibbi Dergisi	J TURK SLEEP MED	2148-1504	2757-850X	0.5	0.6	CLINICAL NEUROLOGY	Q4	262	277
